

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
165.014  000.086  000.086: require('colorizer.parser.rgba_hex')
165.155  000.135  000.135: require('colorizer.sass')
165.164  004.595  000.102: require('colorizer.matcher')
165.280  000.112  000.112: require('colorizer.tailwind')
165.295  004.893  000.131: require('colorizer.buffer')
165.329  005.560  000.667: require('colorizer')
165.443  005.920  000.360: require('stankovictab.specifics.nvim-colorizer')
167.623  001.001  001.001: require('nvim-cursorline')
167.703  001.199  000.198: require('stankovictab.specifics.nvim-cursorline')
171.207  001.012  001.012: require('flash')
171.359  000.140  000.140: require('flash.config')
171.691  000.086  000.086: require('flash.require')
171.709  000.225  000.139: require('flash.plugins.search')
171.917  000.140  000.140: require('flash.plugins.char')
172.015  000.091  000.091: require('flash.repeat')
173.302  000.252  000.252: sourcing /usr/share/nvim/runtime/plugin/editorconfig.lua
173.884  000.503  000.503: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
173.980  000.027  000.027: sourcing /usr/share/nvim/runtime/plugin/health.vim
174.264  000.232  000.232: sourcing /usr/share/nvim/runtime/plugin/man.lua
175.697  000.503  000.503: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
175.861  001.532  001.030: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
176.329  000.390  000.390: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
176.439  000.042  000.042: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
176.696  000.196  000.196: sourcing /usr/share/nvim/runtime/plugin/nvim.lua
177.112  000.022  000.022: sourcing /home/stankovictab/.local/share/nvim/rplugin.vim
177.177  000.418  000.396: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
177.403  000.169  000.169: sourcing /usr/share/nvim/runtime/plugin/shada.vim
177.538  000.057  000.057: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
177.910  000.306  000.306: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
178.237  000.219  000.219: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
178.351  000.046  000.046: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
178.872  000.393  000.393: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
180.377  000.209  000.209: require('cmp_luasnip')
180.519  001.185  000.976: sourcing /home/stankovictab/.local/share/nvim/lazy/cmp_luasnip/after/plugin/cmp_luasnip.lua
180.951  000.179  000.179: require('cmp_path')
180.999  000.319  000.140: sourcing /home/stankovictab/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
181.512  000.128  000.128: require('cmp_nvim_lsp.source')
181.523  000.277  000.149: require('cmp_nvim_lsp')
181.575  000.442  000.165: sourcing /home/stankovictab/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
182.316  000.107  000.107: require('cmp_buffer.timer')
182.328  000.272  000.165: require('cmp_buffer.buffer')
182.334  000.434  000.162: require('cmp_buffer.source')
182.340  000.530  000.096: require('cmp_buffer')
182.388  000.662  000.132: sourcing /home/stankovictab/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
182.523  175.660  024.444: require('stankovictab.plugins')
183.712  001.182  001.182: require('stankovictab.shortcuts')
184.101  000.116  000.116: require('material.util.config')
184.111  000.229  000.113: require('material')
187.638  000.102  000.102: require('mgz')
188.237  000.450  000.450: require('mgz.theme')
188.267  000.617  000.167: require('mgz.util')
194.880  007.456  006.737: sourcing /home/stankovictab/.local/share/nvim/lazy/mgz.nvim/colors/mgz.lua
196.678  000.178  000.178: require('indent_blankline.utils')
203.632  019.910  012.047: require('stankovictab.themes')
203.645  198.604  000.095: sourcing /home/stankovictab/.config/nvim/init.lua
203.670  001.428: sourcing vimrc file(s)
204.777  000.169  000.169: sourcing /usr/share/nvim/runtime/filetype.lua
206.118  000.256  000.256: sourcing /usr/share/nvim/runtime/syntax/synload.vim
206.512  001.547  001.291: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
206.555  001.170: inits 3
212.794  006.239: reading ShaDa
217.674  003.351  003.351: require('alpha')
217.912  000.224  000.224: require('alpha.themes.dashboard')
218.125  004.048  000.473: require('stankovictab.specifics.alpha')
218.718  000.231  000.231: require('luasnip.loaders.from_lua')
219.130  000.220  000.220: require('luasnip.loaders.from_snipmate')
219.450  000.254  000.254: require('luasnip.loaders.from_vscode')
220.609  003.061: opening buffers
221.038  000.429: BufEnter autocommands
221.047  000.009: editing files in windows
221.407  000.195  000.195: require('which-key.plugins')
221.574  000.157  000.157: require('which-key.plugins.spelling')
221.870  000.286  000.286: require('which-key.mappings')
222.621  000.213  000.213: require('which-key.plugins.presets')
222.907  000.239  000.239: require('which-key.plugins.presets.misc')
223.092  000.163  000.163: require('which-key.plugins.registers')
223.983  000.220  000.220: require('which-key.plugins.marks')
224.580  000.171  000.171: require('which-key.colors')
260.163  037.471: VimEnter autocommands
260.243  000.080: UIEnter autocommands
342.506  081.983  081.983: sourcing /usr/share/nvim/runtime/autoload/provider/clipboard.vim
342.537  000.311: before starting main loop
346.240  003.703: first screen update
346.250  000.010: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.012  000.012: --- NVIM STARTING ---
000.141  000.129: event init
000.275  000.134: early init
000.388  000.113: locale set
000.467  000.078: init first window
000.876  000.409: inits 1
000.891  000.015: window checked
000.894  000.003: parsing arguments
001.457  000.059  000.059: require('vim.shared')
001.578  000.047  000.047: require('vim._meta')
001.581  000.117  000.070: require('vim._editor')
001.583  000.240  000.063: require('vim._init_packages')
001.587  000.454: init lua interpreter
002.522  000.935: expanding arguments
002.587  000.066: inits 2
002.976  000.389: init highlight
